Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,69.7,101.4,0.383,0.335,0.548,49,54.7,10.7,6.6,0.514,17.2,26,0.269,1250,771,1704,0.452,209,570,0.367,458,653,0.701,269,991,422,233,78,418,681
2,Air Force,32,14,18,0.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,69,97.6,0.402,0.339,0.523,48.3,55.9,8.7,5.9,0.485,16.8,24.7,0.275,1300,752,1758,0.428,202,596,0.339,483,707,0.683,283,1107,420,196,58,423,617
3,Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,69.2,110.4,0.312,0.506,0.553,49.9,55.7,7.8,9.8,0.528,13.6,29,0.214,1405,911,2111,0.432,409,1069,0.383,451,659,0.684,373,1310,507,190,137,381,618
4,Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,65.7,102.3,0.393,0.367,0.51,49.4,53.7,8.4,5.7,0.471,14.9,31.5,0.269,1175,681,1632,0.417,175,599,0.292,439,642,0.684,330,1000,366,163,61,340,561
5,Alabama-Birmingham,33,26,7,0.788,3.5,-3.07,16,2,16,0,10,4,2606,2323,69.4,112,0.332,0.341,0.571,52.4,64.4,9.2,15.4,0.542,15.4,32.7,0.24,1340,942,1970,0.478,250,671,0.373,472,654,0.722,366,1259,607,213,201,414,579
6,Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,69.5,101.2,0.325,0.337,0.501,49.6,47.2,8.3,9.1,0.467,14.4,31.5,0.222,1260,788,1918,0.411,215,647,0.332,426,623,0.684,389,1153,372,181,107,371,646
7,Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,2193,2242,66.1,99.7,0.407,0.436,0.525,47.5,47,8.7,14.2,0.496,17.3,28.3,0.262,1330,738,1750,0.422,259,763,0.339,458,712,0.643,327,1141,347,192,175,438,631
8,Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,67.8,110.3,0.44,0.317,0.558,55.4,48.3,9.5,4.5,0.509,15.6,35.1,0.33,1335,848,1850,0.458,188,587,0.32,611,814,0.751,387,1276,410,216,52,413,581
9,Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,2014,2164,66.5,99,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.6,35,0.271,1225,691,1692,0.408,174,566,0.307,458,676,0.678,384,1072,272,134,111,429,548
10,American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,62,92.2,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,20,23.5,0.221,1250,631,1487,0.424,195,572,0.341,328,471,0.696,218,874,348,176,69,428,566
11,Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,2187,2398,70.8,99.6,0.391,0.401,0.514,49.7,49.7,5.8,7.5,0.472,17.8,32.9,0.275,1240,719,1795,0.401,256,720,0.356,493,701,0.703,393,1142,357,127,103,462,666
12,Arizona State,32,15,17,0.469,8.28,8.96,5,13,11,6,3,9,2345,2367,69.8,104.2,0.378,0.394,0.518,50.4,50.9,7.6,7.3,0.481,14.5,31.5,0.26,1290,796,1919,0.415,254,757,0.336,499,726,0.687,394,1177,405,170,86,384,649
13,Arizona NCAA,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,2735,2342,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316,1390,946,1970,0.48,221,580,0.381,622,863,0.721,394,1368,485,164,161,442,621
14,Little Rock NCAA,35,30,5,0.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,64.6,108.8,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.3,0.229,1415,886,1958,0.453,266,693,0.384,449,616,0.729,315,1195,451,230,106,355,640
15,Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,65.3,86.3,0.301,0.387,0.474,44.6,47,10.9,10.8,0.45,20.8,27.7,0.184,1325,674,1722,0.391,202,666,0.303,317,519,0.611,322,1004,317,235,123,516,723
16,Arkansas State,31,11,20,0.355,-7.48,-2.37,7,13,9,6,2,14,2282,2353,73,99.3,0.409,0.304,0.51,49.7,49.5,6.8,10.9,0.459,15.1,28.1,0.3,1260,770,1873,0.411,180,570,0.316,562,766,0.734,334,1243,381,157,136,398,613
17,Arkansas,32,16,16,0.5,10.23,6.76,9,9,13,4,3,8,2501,2390,71.3,107.5,0.376,0.273,0.533,50,58.7,10,13.8,0.497,13.2,30.9,0.261,1305,883,1992,0.443,216,544,0.397,519,748,0.694,374,1187,518,233,165,357,687
