Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,2009,2073,68,100.1,0.349,0.354,0.554,47.1,56.6,10.5,8.5,0.53,18.5,23.5,0.232,1180,721,1555,0.464,207,550,0.376,360,543,0.663,222,904,408,210,83,412,631
2,Air Force,33,12,21,0.364,-3.06,1,4,14,11,7,0,11,2411,2477,69,104.6,0.381,0.388,0.544,50.3,60.5,8.6,5.7,0.506,15,26.1,0.273,1335,817,1876,0.436,264,728,0.363,513,715,0.717,304,1149,494,197,57,390,594
3,Akron,36,27,9,0.75,3.59,-1.21,14,4,13,2,7,6,2772,2550,68,113.1,0.366,0.484,0.58,51.2,54.5,8.1,8.6,0.556,15,29.8,0.25,1440,949,2035,0.466,366,984,0.372,508,744,0.683,357,1246,517,198,118,422,653
4,Alabama A&M,29,2,27,0.069,-26.99,-11.09,2,16,1,9,1,18,1794,2255,65.4,93.4,0.396,0.289,0.487,46.4,51.9,5.2,4.4,0.446,17.3,30,0.265,1175,628,1549,0.405,125,447,0.28,411,614,0.669,299,914,326,100,50,384,526
5,Alabama-Birmingham,33,17,16,0.515,-1.17,-1.83,9,9,11,5,4,8,2369,2316,67.8,105.1,0.373,0.322,0.556,52.4,60.2,7,13.2,0.518,17.3,30.2,0.274,1330,835,1809,0.462,203,583,0.348,496,674,0.736,321,1188,503,157,160,444,527
6,Alabama State,31,8,23,0.258,-19.75,-10.75,6,12,6,5,1,17,2042,2305,69.6,93.2,0.346,0.368,0.478,50.4,41.7,6.8,8,0.447,18.6,34.6,0.22,1260,719,1834,0.392,200,674,0.297,404,634,0.637,427,1188,300,150,98,488,629
7,Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,2330,2200,67.4,100.3,0.391,0.372,0.515,53.8,48.2,8.6,11.6,0.483,17.3,34.1,0.255,1380,809,1909,0.424,225,710,0.317,487,746,0.653,418,1327,390,200,141,474,664
8,Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,2496,2301,65.3,109.2,0.333,0.266,0.555,55.5,49,7.8,5.6,0.517,15.6,33.7,0.252,1400,907,1941,0.467,192,516,0.372,490,647,0.757,379,1257,444,178,60,416,617
9,Alcorn State,32,18,14,0.563,-12.33,-10.95,13,5,11,2,6,11,2221,2175,69.2,100,0.328,0.359,0.515,51.4,53.1,9.4,9.2,0.488,17.3,32.5,0.214,1285,800,1866,0.429,222,669,0.332,399,612,0.652,387,1243,425,209,115,452,610
10,American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,1845,2049,65.2,94,0.307,0.343,0.522,46.6,49,10.6,6.9,0.503,18.3,21.7,0.19,1205,692,1542,0.449,168,529,0.318,293,474,0.618,204,868,339,209,73,396,548
