"","X","Rk","School","G","TeamW","TeamL","W.L.","SRS","SOS","ConfW","ConfL","HomeW","HomeL","AwayW","AwayL","Tm.","Opp.","FTr","X3PAr","TS.","TRB.","AST.","BLK.","eFG.","TOV.","FT.FGA","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","year"
"4344",4344,280,"South Dakota",34,22,12,0.647,-0.42,-2.08,12,4,13,1,7,7,2639,2513,0.417,0.321,0.539,50.7,45.8,8.8,0.499,14.1,0.294,907,2044,0.444,224,657,0.341,601,852,0.705,355,1268,415,231,115,402,657,2016
"4349",4349,285,"SIU Edwardsville",30,6,24,0.2,-12.25,-3.29,1,15,3,10,2,13,2044,2282,0.463,0.288,0.497,50.5,44.4,7.4,0.45,17.5,0.313,687,1686,0.407,142,486,0.292,528,780,0.677,353,1073,305,142,85,436,657,2016
"4386",4386,322,"Utah Valley",34,17,17,0.5,-1.22,-2.44,6,8,8,5,8,11,2615,2479,0.378,0.462,0.547,51.2,59.8,8.6,0.511,17.9,0.268,886,2028,0.437,300,937,0.32,543,767,0.708,306,1350,530,216,123,522,667,2016
"4416",4416,1,"Abilene Christian",32,16,16,0.5,-9.14,-6.82,8,10,9,6,6,9,2359,2279,0.309,0.35,0.549,49.7,55.4,11.6,0.521,17.7,0.217,870,1874,0.464,213,656,0.325,406,579,0.701,305,1093,482,260,128,461,671,2017
"4448",4448,33,"Bryant",31,3,28,0.097,-18.75,-5.43,2,16,1,11,2,17,2169,2582,0.278,0.401,0.509,44.7,54.1,3.9,0.479,15.9,0.196,771,1881,0.41,259,755,0.343,368,522,0.705,312,1000,417,190,43,401,600,2017
"4453",4453,38,"Cal State Bakersfield",30,12,18,0.4,-6.58,-0.73,5,9,8,4,3,12,1981,2068,0.346,0.367,0.509,51.4,55.5,9.6,0.473,17.6,0.241,697,1670,0.417,185,613,0.302,402,578,0.696,341,1068,387,182,87,416,597,2017
"4456",4456,41,"UC-Davis",33,22,11,0.667,0.94,-1.84,12,4,10,2,9,7,2388,2241,0.393,0.319,0.561,48.4,49,6.9,0.525,16.7,0.282,834,1792,0.465,213,572,0.372,505,705,0.716,267,1064,409,233,77,425,644,2017
"4463",4463,48,"Central Arkansas",35,18,17,0.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,0.361,0.372,0.557,47.5,57.8,12.1,0.519,15.9,0.265,980,2162,0.453,286,804,0.356,573,780,0.735,354,1271,566,233,180,480,690,2017
"4509",4509,94,"Florida Gulf Coast",35,23,12,0.657,1.93,-5.44,12,2,14,6,9,6,2847,2515,0.321,0.33,0.583,53.8,51.2,7.6,0.554,16.8,0.238,1045,2117,0.494,254,699,0.363,503,680,0.74,368,1338,535,256,97,494,653,2017
"4526",4526,111,"Grand Canyon",34,22,12,0.647,3.76,-4.81,9,5,16,3,3,7,2512,2213,0.394,0.391,0.531,51.4,63.2,10.1,0.492,16,0.277,855,1992,0.429,251,779,0.322,551,785,0.702,403,1310,540,211,134,450,685,2017
"4535",4535,120,"Houston Baptist",31,6,25,0.194,-16.14,-3.96,2,16,5,8,1,16,2382,2617,0.345,0.329,0.497,50.9,50.2,7.5,0.471,15.5,0.215,860,2058,0.418,219,677,0.323,443,710,0.624,471,1219,432,206,90,438,605,2017
"4543",4543,128,"Incarnate Word",28,7,21,0.25,-17.71,-5.04,2,16,6,9,1,12,1978,2163,0.402,0.315,0.53,47.6,46.3,12.3,0.481,19.2,0.3,671,1566,0.428,166,493,0.337,470,630,0.746,279,976,311,169,143,442,521,2017
"4549",4549,134,"Purdue-Fort Wayne",33,18,15,0.545,-1.49,-3.24,7,7,13,3,4,10,2716,2535,0.315,0.446,0.57,49.6,50.8,8.8,0.541,14.1,0.227,953,2073,0.46,339,925,0.366,471,654,0.72,315,1157,484,264,110,391,538,2017
"4557",4557,142,"Kennesaw State",30,10,20,0.333,-11.17,-4.31,6,8,8,6,2,14,2182,2328,0.337,0.247,0.531,48.3,55.4,7.8,0.5,16.6,0.233,805,1771,0.455,160,438,0.365,412,597,0.69,306,987,446,216,93,409,540,2017
"4568",4568,153,"Longwood",33,7,26,0.212,-18.31,-4.31,3,15,5,11,2,13,2088,2445,0.335,0.392,0.511,46.2,44.9,9.1,0.477,20.2,0.23,728,1764,0.413,226,691,0.327,406,591,0.687,263,1070,327,218,103,516,575,2017
"4585",4585,170,"Massachusetts-Lowell",30,12,18,0.4,-9.54,-5.78,6,10,9,7,3,11,2286,2356,0.401,0.361,0.558,47,55,7.2,0.523,16.5,0.284,791,1719,0.46,215,621,0.346,489,690,0.709,282,969,435,210,86,405,538,2017
"4611",4611,196,"Omaha",31,9,22,0.29,-9.88,0.33,4,10,8,4,1,15,2373,2588,0.27,0.363,0.55,47.9,46.2,6.7,0.525,15.9,0.191,877,1913,0.458,254,694,0.366,365,517,0.706,280,1044,405,177,83,409,498,2017
"4618",4618,203,"New Orleans",33,16,17,0.485,-9.01,-5.78,11,7,10,3,5,13,2297,2322,0.42,0.247,0.533,51.2,59.3,9.9,0.497,18.8,0.283,815,1798,0.453,159,444,0.358,508,755,0.673,367,1128,483,238,116,498,622,2017
"4621",4621,206,"NJIT",30,14,16,0.467,-7.25,-5.53,7,7,10,7,4,9,2248,2197,0.321,0.362,0.541,50.6,51.6,8.4,0.514,16.1,0.22,808,1803,0.448,236,653,0.361,396,579,0.684,331,1063,417,246,97,399,556,2017
"4625",4625,210,"North Carolina Central",35,19,16,0.543,-13.19,-12.31,9,7,12,2,3,13,2520,2425,0.29,0.311,0.538,53.4,57.4,9.4,0.512,17.4,0.199,949,2060,0.461,212,640,0.331,410,597,0.687,410,1336,545,179,117,495,650,2017
"4630",4630,215,"North Dakota State",32,15,17,0.469,-1.86,-1.58,5,9,8,6,5,10,2382,2264,0.305,0.436,0.583,50.9,50.4,6.2,0.552,16.5,0.232,837,1783,0.469,294,778,0.378,414,544,0.761,231,1102,422,145,76,402,556,2017
"4631",4631,216,"North Dakota",32,12,20,0.375,-7.63,-0.2,6,12,7,6,2,13,2427,2612,0.353,0.365,0.553,45,47.6,4.7,0.521,16,0.249,863,1879,0.459,233,685,0.34,468,663,0.706,225,984,411,253,59,417,605,2017
"4632",4632,217,"North Florida",33,14,19,0.424,-11.4,-1.74,7,7,10,2,4,17,2668,2873,0.277,0.459,0.573,46.4,52.2,7.5,0.543,17,0.21,939,2058,0.456,357,945,0.378,433,570,0.76,313,1159,490,173,126,478,505,2017
"4636",4636,221,"Northern Colorado",38,26,12,0.684,3.61,-2.27,11,7,14,3,7,8,3080,2776,0.334,0.396,0.566,51.3,41.1,8.1,0.542,14.6,0.23,1104,2347,0.47,334,930,0.359,540,784,0.689,356,1430,454,203,139,465,722,2017
"4639",4639,224,"Northern Kentucky",32,22,10,0.688,4.83,-4.07,15,3,12,2,8,6,2486,2112,0.312,0.4,0.572,52.6,58.2,8.7,0.543,15.5,0.228,898,1892,0.475,258,756,0.341,432,591,0.731,309,1176,523,236,103,399,586,2017
"4660",4660,245,"Presbyterian",32,11,21,0.344,-14.32,-5.53,4,14,8,8,2,13,2124,2273,0.29,0.439,0.53,47.7,49.1,5.6,0.504,15.5,0.199,749,1760,0.426,276,772,0.358,350,510,0.686,290,1003,368,175,63,368,461,2017
"4687",4687,272,"Seattle",34,20,14,0.588,-2.32,-3.09,8,6,16,3,3,10,2589,2468,0.353,0.427,0.561,52.4,52.6,9.6,0.525,17.3,0.261,881,1975,0.446,312,844,0.37,515,698,0.738,365,1298,463,167,123,484,692,2017
"4692",4692,277,"South Carolina Upstate",32,7,25,0.219,-17.46,-4.35,2,12,6,7,0,17,2424,2723,0.225,0.466,0.535,46.4,51,7,0.511,14,0.163,881,2045,0.431,328,952,0.345,334,460,0.726,335,1062,449,195,86,370,566,2017
"4694",4694,279,"South Dakota State",35,28,7,0.8,6.84,-0.38,13,1,15,0,8,5,2958,2599,0.354,0.432,0.59,52.2,46.6,5.9,0.554,12.3,0.269,1003,2147,0.467,374,927,0.403,578,759,0.762,308,1360,467,172,80,353,562,2017
"4695",4695,280,"South Dakota",35,26,9,0.743,6.17,-2.6,11,3,13,2,9,5,2832,2404,0.346,0.32,0.569,52.5,45.5,5.3,0.533,13.5,0.26,1017,2136,0.476,243,684,0.355,555,740,0.75,353,1319,463,239,69,388,592,2017
"4700",4700,285,"SIU Edwardsville",30,9,21,0.3,-12.43,-3.36,5,13,4,9,5,11,2090,2362,0.33,0.372,0.514,48.8,50.8,7.6,0.478,16.7,0.233,734,1759,0.417,212,654,0.324,410,580,0.707,324,1024,373,144,82,409,645,2017
"4737",4737,322,"Utah Valley",34,23,11,0.676,5.08,-1.76,10,4,16,1,6,9,2657,2310,0.378,0.361,0.587,54.7,59.3,10.6,0.552,17.3,0.28,926,1919,0.483,267,692,0.386,538,725,0.742,351,1297,549,203,140,474,558,2017
