"","X","Rk","School","G","TeamW","TeamL","W.L.","SRS","SOS","ConfW","ConfL","HomeW","HomeL","AwayW","AwayL","Tm.","Opp.","FTr","X3PAr","TS.","TRB.","AST.","BLK.","eFG.","TOV.","FT.FGA","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","year"
"3642",3642,280,"South Dakota",33,17,16,0.515,-4.9,-3.48,9,7,8,6,8,7,2309,2312,0.338,0.306,0.517,51.3,47.8,6.8,0.477,14.3,0.247,811,1924,0.422,212,589,0.36,475,650,0.731,384,1169,388,184,80,372,603,2014
"3647",3647,285,"SIU Edwardsville",28,12,16,0.429,-7.28,-4.54,8,8,11,3,1,12,1909,1884,0.378,0.34,0.528,49.5,52.3,11.5,0.495,17.2,0.255,660,1532,0.431,198,521,0.38,391,579,0.675,292,969,345,178,120,375,518,2014
"3684",3684,322,"Utah Valley",30,11,19,0.367,-12.72,-4.87,5,9,8,5,3,13,1758,1923,0.334,0.368,0.493,49.8,62.8,6.8,0.455,17.7,0.232,616,1540,0.4,169,566,0.299,357,514,0.695,297,989,387,134,69,385,519,2014
"3714",3714,1,"Abilene Christian",31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,0.383,0.335,0.548,49,54.7,6.6,0.514,17.2,0.269,771,1704,0.452,209,570,0.367,458,653,0.701,269,991,422,233,78,418,681,2015
"3746",3746,33,"Bryant",31,8,23,0.258,-18.58,-6.71,5,13,4,10,4,13,2018,2361,0.268,0.342,0.498,46.3,55,7.4,0.475,17.2,0.172,755,1798,0.42,198,615,0.322,310,482,0.643,300,1048,415,176,83,420,591,2015
"3751",3751,38,"Cal State Bakersfield",33,24,9,0.727,2.58,-5.15,11,3,14,1,7,7,2405,2104,0.374,0.27,0.527,52.8,59,14.2,0.497,15.1,0.245,875,1939,0.451,179,524,0.342,476,726,0.656,414,1263,516,263,165,405,707,2015
"3754",3754,41,"UC-Davis",30,11,19,0.367,-5.58,-1.26,6,10,8,7,3,11,1914,1980,0.346,0.288,0.511,49.4,49.1,4.5,0.484,18.6,0.221,697,1608,0.433,164,463,0.354,356,557,0.639,255,1033,342,186,49,427,531,2015
"3761",3761,48,"Central Arkansas",28,7,21,0.25,-15.17,-6.81,6,12,4,6,2,14,2110,2344,0.419,0.3,0.531,50.4,50.4,9.4,0.499,17,0.276,734,1656,0.443,185,497,0.372,457,694,0.659,331,1044,370,152,104,407,575,2015
"3807",3807,94,"Florida Gulf Coast",35,21,14,0.6,-0.79,-3.82,8,6,16,4,4,8,2703,2473,0.369,0.25,0.546,53.5,47.9,10.3,0.523,15,0.238,1008,2106,0.479,186,527,0.353,501,778,0.644,417,1422,483,230,141,438,674,2015
"3824",3824,111,"Grand Canyon",34,27,7,0.794,1.43,-5.6,11,3,18,2,7,5,2581,2316,0.422,0.295,0.543,52.7,56.3,7.3,0.506,14.6,0.293,896,1978,0.453,210,583,0.36,579,835,0.693,399,1301,504,210,90,407,625,2015
"3833",3833,120,"Houston Baptist",34,17,17,0.5,-10.39,-5.26,10,8,12,3,4,11,2604,2582,0.441,0.295,0.566,51.2,52.4,9.5,0.526,17.9,0.316,899,1903,0.472,204,561,0.364,602,839,0.718,351,1248,471,182,134,502,644,2015
"3841",3841,128,"Incarnate Word",29,17,12,0.586,-9.2,-6.2,12,6,10,3,7,9,2145,2140,0.375,0.376,0.551,47.7,59.6,6.8,0.505,15.9,0.287,718,1653,0.434,234,622,0.376,475,620,0.766,232,974,428,200,75,368,538,2015
"3847",3847,134,"Fort Wayne",34,24,10,0.706,0,-1.66,12,4,12,1,10,7,2701,2585,0.333,0.428,0.578,51.4,54.9,8.5,0.55,15.1,0.239,932,2017,0.462,354,863,0.41,483,671,0.72,342,1230,512,190,112,417,588,2015
"3855",3855,142,"Kennesaw State",31,11,20,0.355,-8.58,-1.61,7,7,8,6,3,14,2239,2399,0.342,0.278,0.527,47.1,46.6,8.3,0.493,16,0.24,811,1826,0.444,179,508,0.352,438,625,0.701,322,1039,378,216,99,405,605,2015
"3866",3866,153,"Longwood",33,10,23,0.303,-11.42,-5.15,5,13,5,8,4,12,2397,2503,0.335,0.342,0.545,51.6,49,8.3,0.513,17.7,0.237,860,1899,0.453,227,650,0.349,450,636,0.708,350,1197,421,205,91,474,624,2015
"3883",3883,170,"Massachusetts-Lowell",29,11,18,0.379,-13.59,-6.17,7,9,6,6,5,12,2221,2401,0.326,0.387,0.564,46.6,53.3,6.2,0.54,18.8,0.223,800,1705,0.469,240,659,0.364,381,556,0.685,249,947,426,205,71,455,596,2015
"3909",3909,196,"Omaha",32,18,14,0.563,-0.24,-2.04,10,6,9,4,7,9,2729,2619,0.412,0.296,0.564,48.9,48.3,7.4,0.521,14.6,0.307,953,2023,0.471,202,599,0.337,621,833,0.745,340,1129,460,297,94,413,657,2015
"3916",3916,203,"New Orleans",30,10,20,0.333,-14.21,-8.17,6,12,7,5,3,14,2249,2325,0.448,0.264,0.509,50.6,53.5,7.1,0.464,17,0.308,763,1820,0.419,162,480,0.338,561,816,0.688,422,1138,408,252,77,452,640,2015
