Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,35,26,9,0.743,15.19,3.34,10,6,17,1,6,5,2414,1960,,,0.373,0.475,0.617,48.5,65.4,,3.4,0.585,15.5,,0.282,1400,815,1662,0.49,316,789,0.401,468,620,0.755,231,969,533,234,57,359,526
2,Akron,33,26,7,0.788,10.9,-1.9,13,3,13,1,10,4,2485,2014,,,0.354,0.336,0.573,51.7,55.9,,7.9,0.551,16,,0.237,,900,1857,0.485,245,624,0.393,440,657,0.67,399,1159,503,267,141,414,611
3,Alabama A&M,30,10,20,0.333,-23.55,-12.38,4,14,9,5,0,13,1856,2052,,,0.375,0.328,0.466,44.7,49.6,,13,0.431,21.3,,0.237,1205,653,1690,0.386,150,555,0.27,400,633,0.632,344,1071,324,224,236,539,600
4,Alabama-Birmingham,31,15,16,0.484,3.97,3.83,7,9,9,4,5,9,2051,2016,,,0.428,0.368,0.513,49.8,49.2,,6.2,0.486,17.6,,0.26,,707,1663,0.425,204,612,0.333,433,711,0.609,353,1095,348,207,107,428,523
5,Alabama State,30,10,20,0.333,-17.9,-11.54,8,10,7,5,3,11,1826,2007,,,0.418,0.352,0.462,47.9,47.1,,5.2,0.418,17.6,,0.271,1205,601,1650,0.364,177,580,0.305,447,690,0.648,393,1031,283,183,83,421,607
6,Alabama,32,20,12,0.625,10.81,6.24,7,9,14,2,2,9,2369,2223,,,0.361,0.304,0.547,52.7,49.8,,8.6,0.513,16.9,,0.255,,844,1849,0.456,209,563,0.371,472,667,0.708,437,1242,420,181,170,441,460
7,Albany (NY) NCAA,33,23,10,0.697,-1.6,-4.75,13,3,11,2,11,7,2241,2147,,,0.329,0.344,0.55,52.2,54.6,,4.8,0.517,17.7,,0.237,1330,798,1762,0.453,227,607,0.374,418,579,0.722,364,1112,436,191,82,437,634
8,Alcorn State,30,11,19,0.367,-22.48,-13.23,10,8,8,3,3,12,2012,2265,,,0.397,0.298,0.496,49.3,40.1,,4.8,0.456,21.7,,0.267,,705,1706,0.413,146,508,0.287,456,678,0.673,380,1077,283,196,82,561,719
9,American,30,16,14,0.533,-2.68,-4.38,7,7,10,3,6,11,1945,1865,,,0.361,0.317,0.524,51.7,59.6,,4.5,0.482,18.2,,0.263,,678,1584,0.428,172,502,0.343,417,572,0.729,313,1037,404,173,71,414,563
10,Appalachian State,33,25,8,0.758,4.68,-1.19,15,3,12,1,9,6,2508,2239,,,0.326,0.363,0.569,51,56.5,,6.6,0.545,18.1,,0.224,,914,1909,0.479,252,693,0.364,428,622,0.688,386,1146,516,285,121,487,594
