Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
230,Quinnipiac,29,9,20,0.31,-12.7,-7.4,5,13,7,6,2,11,2119,2214,,,0.3,0.351,0.521,48.8,62.2,,3.2,0.49,17.2,,0.211,,759,1780,0.426,226,625,0.362,375,534,0.702,333,1045,472,178,52,422,641
231,Radford,28,12,16,0.429,-11.04,-7.78,7,9,9,5,3,11,1911,1951,,,0.382,0.317,0.502,47.7,46.9,,5.4,0.475,16.9,,0.235,,674,1612,0.418,184,511,0.36,379,616,0.615,320,969,316,231,83,388,544
232,Rhode Island,34,20,14,0.588,7.19,2.8,7,9,11,6,6,7,2342,2203,,,0.347,0.259,0.501,55.1,50.2,,5.6,0.467,17.2,,0.235,,847,2005,0.422,177,520,0.34,471,696,0.677,544,1381,425,239,107,486,621
233,Rice,33,22,11,0.667,7.52,3.99,12,6,12,3,6,7,2446,2310,,,0.417,0.267,0.558,50.5,56.7,,6,0.521,19.4,,0.296,,867,1828,0.474,171,488,0.35,541,762,0.71,361,1128,492,275,114,528,611
234,Richmond NCAA,33,20,13,0.606,10.07,5.07,10,6,9,4,8,7,2129,1964,,,0.361,0.339,0.507,50,55.1,,8.3,0.463,17.1,,0.26,,737,1793,0.411,188,607,0.31,467,648,0.721,403,1164,406,235,143,432,617
235,Rider,31,17,14,0.548,-5.61,-4.95,10,8,9,4,5,9,2112,2134,,,0.318,0.374,0.515,49,55.9,,4.6,0.481,16.8,,0.223,1265,744,1783,0.417,226,666,0.339,398,567,0.702,364,1128,416,215,83,414,539
236,Robert Morris,29,14,15,0.483,-10.38,-7.52,10,8,9,3,4,11,1989,2039,,,0.334,0.378,0.563,48.7,49.4,,3.5,0.527,18.2,,0.252,1160,696,1524,0.457,213,576,0.37,384,509,0.754,243,925,344,144,58,392,511
237,Rutgers,33,20,13,0.606,8.53,6.87,7,9,16,2,2,9,2266,2163,,,0.378,0.356,0.52,50.9,56.3,,10.4,0.481,17.8,,0.266,1335,768,1846,0.416,239,657,0.364,491,697,0.704,405,1225,432,209,196,472,610
238,Sacramento State,28,13,15,0.464,-4.2,-2.39,7,7,10,4,3,11,1989,1981,,,0.377,0.373,0.508,48.3,56.3,,5.3,0.472,17.5,,0.253,1130,672,1661,0.405,225,620,0.363,420,627,0.67,359,1015,378,240,83,416,621
239,Sacred Heart,27,12,15,0.444,-11.66,-7.66,8,10,8,4,4,11,1986,2094,,,0.311,0.255,0.511,49.5,52.6,,6.9,0.482,18.3,,0.209,1085,744,1692,0.44,144,432,0.333,354,527,0.672,355,997,391,210,110,436,542
