Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,0.5,-9.14,-6.82,8,10,9,6,6,9,2359,2279,71.6,102.2,0.309,0.35,0.549,49.7,55.4,11.3,11.6,0.521,17.7,27.8,0.217,1290,870,1874,0.464,213,656,0.325,406,579,0.701,305,1093,482,260,128,461,671
2,Air Force,31,12,19,0.387,-4.31,1.72,6,12,9,7,3,10,2124,2244,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233,1245,733,1751,0.419,250,755,0.331,408,556,0.734,302,1014,445,201,78,391,557
3,Akron,32,14,18,0.438,-6.82,-1.92,6,12,12,4,2,10,2296,2411,69.1,102.6,0.319,0.467,0.547,49.2,52.7,8.4,7.5,0.518,17.3,27.1,0.222,1295,793,1824,0.435,305,851,0.358,405,582,0.696,300,1071,418,189,81,440,637
4,Alabama A&M,31,3,28,0.097,-23.97,-8.04,3,15,2,9,1,18,1873,2367,68.3,88.1,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.4,0.203,1245,673,1697,0.397,182,601,0.303,345,533,0.647,328,1046,340,123,49,514,506
5,Alabama-Birmingham,33,20,13,0.606,4.9,-0.65,10,8,14,3,5,6,2536,2303,69.5,109.8,0.291,0.334,0.575,54.8,59.3,7.7,11.6,0.545,16.5,31.1,0.218,1330,945,1937,0.488,223,646,0.345,423,564,0.75,332,1255,560,178,127,437,490
6,Alabama State,31,8,23,0.258,-18.55,-8.62,8,10,4,8,4,13,2129,2437,70.5,97,0.352,0.347,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.227,1245,751,1839,0.408,209,638,0.328,418,647,0.646,394,1131,313,169,130,437,648
7,Alabama NCAA,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,2604,2543,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.3,0.281,1440,910,1975,0.461,229,702,0.326,555,828,0.67,358,1290,458,228,192,513,676
8,Albany (NY),32,22,10,0.688,0.01,-5.41,10,6,14,3,8,7,2375,2182,67.3,110.3,0.37,0.273,0.55,55.2,48.3,7,7.9,0.507,14.7,34.9,0.279,1280,839,1836,0.457,184,502,0.367,513,680,0.754,377,1191,405,150,91,371,528
9,Alcorn State,32,11,21,0.344,-18.07,-8.6,7,11,9,5,2,16,2244,2388,70.4,99.2,0.328,0.382,0.532,48.4,53,8.8,7.7,0.499,17.9,27.1,0.232,1285,791,1824,0.434,239,697,0.343,423,598,0.707,304,1104,419,200,85,459,613
10,American,30,6,24,0.2,-14.63,-6.17,3,15,4,8,2,16,1961,2215,67.4,96.6,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.4,0.202,1205,698,1615,0.432,239,709,0.337,326,491,0.664,238,869,367,217,98,413,550
