Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,Appalachian State,33,15,18,0.455,-4.81,-2.65,9,9,9,4,4,11,2520,2448,72,104.6,0.378,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252,1340,864,1983,0.436,292,859,0.34,500,749,0.668,389,1292,411,198,117,457,627
12,Arizona State NCAA,32,20,12,0.625,14.37,6.56,8,10,13,4,4,6,2645,2395,72.2,113.6,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303,1290,888,1920,0.463,288,793,0.363,581,793,0.733,315,1126,458,209,114,343,604
13,Arizona NCAA,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,2818,2509,68.7,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.2,0.281,1420,1009,2003,0.504,237,642,0.369,563,741,0.76,352,1277,531,173,158,426,603
14,Little Rock,32,7,25,0.219,-10.44,-2.21,4,14,5,10,2,14,2038,2242,66.6,94.2,0.315,0.355,0.505,49.1,52.1,7.4,9.5,0.484,18.5,28.9,0.192,1300,750,1756,0.427,200,623,0.321,338,554,0.61,322,1089,391,159,93,459,612
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,12,6,7,3,6,13,2307,2499,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,23.9,0.247,1410,815,1863,0.437,217,660,0.329,460,681,0.675,277,1024,427,275,144,500,684
16,Arkansas State,32,11,21,0.344,-9.65,-3.02,6,12,7,7,4,13,2369,2523,70.5,104.2,0.329,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.3,0.236,1290,841,1910,0.44,236,695,0.34,451,628,0.718,354,1072,344,215,95,419,589
17,Arkansas NCAA,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,2819,2647,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,1415,1005,2119,0.474,269,681,0.395,540,793,0.681,350,1208,501,218,163,381,700
18,Army,30,13,17,0.433,-8.62,-7.17,6,12,6,5,4,12,2230,2223,71.7,103.2,0.243,0.418,0.542,49.6,61.1,7.9,8.2,0.524,16.4,27,0.16,1205,820,1845,0.444,295,771,0.383,295,448,0.658,300,1073,501,170,83,403,593
19,Auburn NCAA,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,73.5,111.4,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,31.8,0.308,1360,906,2102,0.431,324,908,0.357,647,836,0.774,403,1290,481,252,180,411,672
20,Austin Peay,34,19,15,0.559,-3.28,-2.49,12,6,13,5,5,9,2512,2446,70.1,104.7,0.366,0.294,0.532,52.2,49.5,9.4,8.9,0.505,16.8,35.7,0.239,1370,915,2012,0.455,202,592,0.341,480,737,0.651,443,1209,453,225,103,478,671
21,Ball State,32,19,13,0.594,-1.22,-1.99,10,8,14,2,5,10,2410,2362,71.1,104.6,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.8,0.239,1295,856,1895,0.452,245,727,0.337,453,643,0.705,318,1210,453,170,112,423,547
22,Baylor,34,19,15,0.559,14.59,9.17,8,10,15,5,2,9,2571,2369,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234,1375,941,2007,0.469,217,608,0.357,470,640,0.734,400,1292,516,185,152,463,608
23,Belmont,33,24,9,0.727,5.54,-2.88,15,3,14,2,9,6,2562,2284,68.5,113.3,0.279,0.542,0.61,51.5,58.7,7.1,6.5,0.588,16.3,25.2,0.206,1320,901,1853,0.486,378,1005,0.376,382,517,0.739,258,1133,529,161,82,410,531
24,Bethune-Cookman,32,18,14,0.563,-12.21,-12.48,12,4,10,3,8,10,2621,2543,77.7,104.6,0.402,0.372,0.54,52.1,55.5,8.1,8.9,0.502,17.3,33.5,0.282,1290,903,2039,0.443,241,759,0.318,575,820,0.701,424,1346,501,202,123,507,670
25,Binghamton,31,11,20,0.355,-10.29,-6.36,2,14,7,7,3,12,2147,2181,67.9,101.6,0.297,0.378,0.53,49.6,47.8,8,11.6,0.51,15.8,26,0.19,1245,787,1775,0.443,235,671,0.35,338,528,0.64,283,1066,376,170,131,381,522
26,Boise State,32,23,9,0.719,11.21,3.05,13,5,15,1,6,6,2502,2210,70.7,108.8,0.313,0.425,0.572,55.9,48.6,8,5.9,0.542,16.5,29.3,0.231,1300,878,1903,0.461,307,809,0.379,439,595,0.738,318,1232,427,183,70,433,573
27,Boston College,35,19,16,0.543,9,7.2,7,11,14,3,2,11,2673,2610,70.1,107.7,0.307,0.395,0.554,51.6,51.9,7.1,8.8,0.521,15.5,29.8,0.228,1415,948,2105,0.45,298,831,0.359,479,646,0.741,371,1293,492,175,110,441,570
28,Boston University,31,15,16,0.484,-8.34,-5.84,10,8,6,7,9,9,2186,2226,68.8,102.5,0.323,0.355,0.548,50.1,52.5,10.7,9.8,0.529,17.6,28.6,0.206,1240,800,1730,0.462,229,614,0.373,357,559,0.639,296,1044,420,229,103,427,531
29,Bowling Green State,32,16,16,0.5,-6.38,-2.88,7,11,9,6,6,9,2429,2490,71.9,103.6,0.372,0.352,0.526,51.2,51.4,8.1,6.6,0.483,15,30,0.272,1305,827,1963,0.421,241,690,0.349,534,730,0.732,372,1226,425,189,82,408,569
30,Bradley,33,20,13,0.606,2.08,0.36,9,9,13,2,4,9,2223,2136,66.3,101.7,0.372,0.343,0.528,51.8,58.2,9.8,12.9,0.49,17.3,31.9,0.263,1320,768,1788,0.43,217,613,0.354,470,665,0.707,359,1178,447,214,133,441,626
31,Brigham Young,35,24,11,0.686,8.04,1.53,11,7,13,3,7,6,2600,2372,67.9,108.2,0.376,0.341,0.579,51,58,9.3,11,0.541,15.2,22.4,0.282,1415,919,1905,0.482,225,649,0.347,537,716,0.75,242,1146,533,224,133,403,596
32,Brown,27,11,16,0.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,72.7,104,0.409,0.361,0.534,50.7,48.6,8.7,8.1,0.483,15.7,30.3,0.309,1100,695,1631,0.426,186,588,0.316,504,667,0.756,310,988,338,174,81,364,565
33,Bryant,31,3,28,0.097,-18.75,-5.43,2,16,1,11,2,17,2169,2582,71,98.2,0.278,0.401,0.509,44.7,54.1,8.6,3.9,0.479,15.9,26.1,0.196,1245,771,1881,0.41,259,755,0.343,368,522,0.705,312,1000,417,190,43,401,600
34,Bucknell NCAA,35,25,10,0.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,26.9,0.306,1420,965,2050,0.471,280,804,0.348,627,872,0.719,324,1281,505,194,152,437,655
35,Buffalo NCAA,36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,113.3,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.6,0.208,1455,1105,2334,0.473,351,948,0.37,486,695,0.699,426,1388,597,225,146,446,755
36,Butler NCAA,35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202,1430,1020,2155,0.473,287,805,0.357,436,562,0.776,319,1198,489,232,100,391,642
37,Cal Poly,31,9,22,0.29,-11.55,-1.83,4,12,7,6,1,13,2082,2302,66.6,98.4,0.263,0.411,0.509,47.5,51.6,7.3,10.2,0.47,15.2,25.8,0.205,1270,721,1817,0.397,267,746,0.358,373,478,0.78,291,1034,372,154,122,366,565
38,Cal State Bakersfield,30,12,18,0.4,-6.58,-0.73,5,9,8,4,3,12,1981,2068,67.5,97.9,0.346,0.367,0.509,51.4,55.5,9,9.6,0.473,17.6,32.2,0.241,1200,697,1670,0.417,185,613,0.302,402,578,0.696,341,1068,387,182,87,416,597
39,Cal State Fullerton NCAA,32,20,12,0.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,70,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,26.8,0.316,1290,804,1721,0.467,167,500,0.334,543,745,0.729,276,1123,403,201,106,455,578
40,Cal State Northridge,30,6,24,0.2,-13.51,-3.55,3,13,4,9,2,13,1983,2206,66.5,98.2,0.28,0.304,0.518,46,50.1,7.4,6.3,0.488,16,24,0.198,1215,731,1689,0.433,186,514,0.362,335,473,0.708,247,940,366,149,74,365,533
41,UC-Davis,33,22,11,0.667,0.94,-1.84,12,4,10,2,9,7,2388,2241,67.3,104.3,0.393,0.319,0.561,48.4,49,10.2,6.9,0.525,16.7,24.9,0.282,1360,834,1792,0.465,213,572,0.372,505,705,0.716,267,1064,409,233,77,425,644
42,UC-Irvine,35,18,17,0.514,-0.21,-0.33,11,5,7,5,7,10,2440,2350,68.5,101,0.288,0.319,0.521,55,47.8,7.4,10.7,0.49,17.2,33.1,0.204,1410,900,2061,0.437,220,657,0.335,420,593,0.708,420,1443,430,178,140,487,719
43,UC-Riverside,31,9,22,0.29,-8.5,-1.53,4,12,6,8,3,13,2024,2163,69.8,93.2,0.326,0.336,0.493,47.7,54.3,8.8,8.9,0.454,17.2,27,0.229,1245,716,1779,0.402,185,597,0.31,407,580,0.702,312,1089,389,190,95,428,617
44,UC-Santa Barbara,32,23,9,0.719,2.1,-3.36,11,5,12,2,9,6,2425,2211,68.1,110.9,0.314,0.356,0.558,52.1,54.8,7,9.8,0.532,13.4,29.3,0.219,1285,877,1891,0.464,257,674,0.381,414,594,0.697,326,1176,481,154,118,337,536
45,University of California,32,8,24,0.25,-3.4,6.06,2,16,5,12,3,8,2166,2483,70.6,95.6,0.38,0.275,0.486,50.5,40.8,9.7,14,0.446,17.4,34.7,0.256,1285,767,1887,0.406,148,518,0.286,484,717,0.675,426,1140,313,220,154,470,648
46,Campbell,34,18,16,0.529,-5.68,-6.68,10,8,14,4,4,11,2581,2412,68.6,109.8,0.347,0.432,0.593,48.5,54.1,9.7,11.1,0.561,15.6,21.4,0.26,1370,891,1867,0.477,313,806,0.388,486,648,0.75,229,1085,482,228,137,403,579
47,Canisius,33,21,12,0.636,0.44,-4.8,15,3,11,3,8,8,2519,2346,69.9,108.8,0.299,0.45,0.568,49.5,61.4,10,8.1,0.542,16.2,29.9,0.213,1325,901,1942,0.464,304,874,0.348,413,581,0.711,335,1101,553,232,95,430,624
48,Central Arkansas,35,18,17,0.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,74.4,106.3,0.361,0.372,0.557,47.5,57.8,8.8,12.1,0.519,15.9,26.9,0.265,1425,980,2162,0.453,286,804,0.356,573,780,0.735,354,1271,566,233,180,480,690
49,Central Connecticut State,32,14,18,0.438,-11.62,-7.59,7,11,8,4,6,14,2171,2300,66.3,100.3,0.326,0.345,0.54,52.3,50.4,7.4,9.7,0.51,19.1,31.1,0.228,1305,788,1740,0.453,198,601,0.329,397,568,0.699,321,1130,397,161,107,473,549
50,Central Florida,32,19,13,0.594,4.75,3.75,9,9,12,4,5,6,2007,1975,64.9,96.2,0.431,0.331,0.512,50.5,49.1,8.1,9.4,0.478,18,28.5,0.277,1285,690,1627,0.424,177,538,0.329,450,702,0.641,305,1108,339,169,111,431,488
51,Central Michigan,36,21,15,0.583,-1.39,-3.24,7,11,12,5,6,9,2835,2661,69.3,111.7,0.325,0.474,0.561,50.7,51.6,9,9.4,0.517,14.2,30.9,0.262,1465,953,2187,0.436,356,1037,0.343,573,711,0.806,398,1305,492,228,119,417,573
52,Charleston Southern,31,15,16,0.484,-8.15,-6.15,9,9,9,6,6,10,2232,2133,67.5,105,0.324,0.352,0.539,51.2,45.9,10.5,11.8,0.505,16.5,31.6,0.234,1260,802,1793,0.447,208,631,0.33,420,581,0.723,345,1071,368,224,106,408,517
53,Charlotte,29,6,23,0.207,-10.13,0.27,2,16,4,11,2,12,2066,2317,72.2,98.2,0.39,0.345,0.533,48.7,45.2,7.8,5.7,0.493,18.1,26.3,0.279,1165,706,1634,0.432,198,563,0.352,456,637,0.716,269,990,319,165,65,428,524
54,Chattanooga,33,10,23,0.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,67.4,101,0.347,0.43,0.545,49.2,53.7,7.3,5.6,0.511,18,27.1,0.247,1345,784,1804,0.435,276,776,0.356,445,626,0.711,306,1072,421,166,69,460,507
55,Chicago State,32,3,29,0.094,-21.53,1.17,1,13,3,8,0,19,2171,2756,74,91.7,0.33,0.289,0.494,45.5,47.4,9.8,7,0.452,18,26.7,0.239,1280,774,1898,0.408,169,549,0.308,454,627,0.724,323,1042,367,232,81,483,697
56,Cincinnati NCAA,36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,1440,944,2100,0.45,262,742,0.353,523,756,0.692,477,1413,570,256,194,404,561
57,Citadel,32,11,21,0.344,-13.63,-2.94,5,13,7,8,3,12,2639,2819,79.6,102.8,0.313,0.527,0.535,46.1,59.4,11.7,8.2,0.504,16.2,27.4,0.221,1290,889,2148,0.414,386,1133,0.341,475,673,0.706,374,1183,528,301,99,477,586
58,Clemson NCAA,35,25,10,0.714,17.17,9.25,11,7,15,1,4,6,2584,2307,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253,1410,899,1971,0.456,288,786,0.366,498,660,0.755,310,1256,463,198,169,414,564
59,Cleveland State,35,12,23,0.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,69.2,98.5,0.291,0.439,0.537,44.3,53.5,9.5,7.3,0.509,17,22.2,0.205,1410,853,1965,0.434,294,863,0.341,402,572,0.703,270,1063,456,231,90,458,595
60,Coastal Carolina,32,14,18,0.438,-3.91,-2.4,8,10,7,9,5,7,2298,2241,69,103.3,0.387,0.364,0.535,54.2,53.1,7.7,11.5,0.494,18.2,34.5,0.279,1290,787,1813,0.434,218,660,0.33,506,702,0.721,388,1244,418,171,116,479,608
61,Colgate,33,19,14,0.576,-4.86,-5.73,12,6,13,3,6,11,2394,2315,67.5,107.5,0.291,0.451,0.554,49,51.4,9,10,0.518,14.4,26,0.225,1320,829,1897,0.437,309,856,0.361,427,552,0.774,296,1083,426,201,110,363,542
62,College of Charleston NCAA,34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.6,0.277,1385,875,1905,0.459,259,720,0.36,527,699,0.754,285,1129,387,177,119,339,563
63,Colorado State,32,11,21,0.344,-3.86,3.79,4,14,8,8,3,10,2314,2537,71.4,100,0.335,0.352,0.514,50.7,50.4,8.2,9.5,0.476,15.9,30.7,0.241,1295,811,1941,0.418,225,684,0.329,467,651,0.717,375,1200,409,190,102,426,624
64,Colorado,32,17,15,0.531,6.07,7,8,10,12,3,1,10,2307,2337,69.5,102.5,0.333,0.365,0.542,52.4,50.5,6.2,10.5,0.506,17.5,29.4,0.243,1295,810,1839,0.44,241,672,0.359,446,612,0.729,324,1200,409,140,122,451,619
65,Columbia,27,8,19,0.296,-5.64,-3.02,5,9,7,5,1,14,2062,2085,71,106.6,0.241,0.435,0.549,49,51.5,9.2,10.4,0.522,15.2,27.6,0.179,1090,746,1686,0.442,269,733,0.367,301,407,0.74,277,962,384,177,93,338,504
66,Connecticut,32,14,18,0.438,1.08,6.05,7,11,11,5,2,9,2181,2340,67.3,99.7,0.324,0.36,0.516,48.2,43.8,8.7,11.2,0.475,16,28.8,0.241,1300,762,1832,0.416,215,659,0.326,442,593,0.745,326,1096,334,190,119,403,592
67,Coppin State,32,5,27,0.156,-20.97,-7.25,5,11,4,6,1,20,1945,2384,69.1,86.3,0.272,0.476,0.472,44.8,51.4,7.6,7,0.433,18.3,22.3,0.201,1305,657,1824,0.36,265,869,0.305,366,497,0.736,273,1082,338,172,82,462,649
68,Cornell,28,12,16,0.429,-8.8,-3.24,6,8,8,4,4,11,2124,2250,70.7,104.5,0.356,0.396,0.563,48,60.3,7.1,8.7,0.529,16.6,24.2,0.26,1150,744,1613,0.461,217,639,0.34,419,574,0.73,232,961,449,144,98,376,499
69,Creighton NCAA,33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,72.9,113.7,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.3,0.194,1330,1008,2050,0.492,343,923,0.372,397,531,0.748,246,1206,588,187,88,371,501
70,Dartmouth,27,7,20,0.259,-10.31,-4,3,11,6,6,1,14,1841,1970,67.8,100.2,0.327,0.383,0.548,48.5,55.1,8.3,9.3,0.517,17.9,23.7,0.233,1085,651,1454,0.448,200,557,0.359,339,475,0.714,208,847,359,152,86,365,421
71,Davidson NCAA,33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,65.3,115.6,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.3,0.196,1335,899,1874,0.48,353,907,0.389,368,461,0.798,225,1078,551,155,65,315,503
72,Dayton,31,14,17,0.452,1.64,2.7,8,10,12,4,1,10,2244,2277,67,106.4,0.318,0.44,0.583,49.7,60.7,7.7,7.3,0.555,18.1,25.5,0.232,1260,804,1671,0.481,248,736,0.337,388,531,0.731,240,968,488,162,78,426,510
73,Delaware State,32,4,28,0.125,-24.59,-9.32,2,14,4,9,0,18,2034,2458,66.9,93.5,0.29,0.332,0.502,48.2,46.9,8.7,8.2,0.471,19.4,30.2,0.201,1300,742,1781,0.417,192,591,0.325,358,516,0.694,337,1066,348,189,83,489,560
74,Delaware,33,14,19,0.424,-6.93,-2.96,6,12,7,8,4,10,2338,2428,67,105,0.349,0.311,0.533,50.2,44.9,7.4,6.4,0.508,13.9,27.2,0.228,1330,859,1880,0.457,192,584,0.329,428,657,0.651,314,1150,386,164,75,354,554
75,Denver,30,15,15,0.5,-5.22,-2.54,8,6,10,4,3,9,2192,2189,68.7,104.5,0.318,0.31,0.56,54.4,56.3,6.2,7.4,0.535,18.7,31.4,0.221,1220,803,1699,0.473,211,527,0.4,375,540,0.694,311,1107,452,129,72,451,561
76,DePaul,31,11,20,0.355,6.55,8.45,4,14,6,10,4,7,2230,2289,71.2,100.6,0.294,0.327,0.512,51.7,56.8,9,9.2,0.479,16.5,32.9,0.208,1245,819,1912,0.428,194,626,0.31,398,562,0.708,383,1160,465,200,94,430,553
77,Detroit Mercy,32,8,24,0.25,-12.47,-2.07,4,14,5,11,2,11,2516,2743,75.4,103.8,0.306,0.401,0.541,47.5,49.5,8.7,7.1,0.504,15.8,27.6,0.231,1285,883,2031,0.435,281,815,0.345,469,621,0.755,334,1114,437,212,88,435,649
78,Drake,34,17,17,0.5,-0.51,0.59,10,8,11,3,4,11,2506,2495,69.4,104,0.325,0.403,0.551,48.4,58.5,8.5,6.7,0.51,15.3,23.1,0.25,1390,862,1972,0.437,289,795,0.364,493,640,0.77,274,1158,504,204,86,412,530
79,Drexel,33,13,20,0.394,-7.2,-2.48,6,12,9,5,2,11,2454,2591,70.1,104.4,0.324,0.351,0.533,49.9,43.2,7.5,10,0.498,15.1,30.7,0.234,1340,880,1994,0.441,227,699,0.325,467,646,0.723,369,1197,380,176,138,409,583
80,Duke NCAA,37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574
81,Duquesne,32,16,16,0.5,-1.08,-3.33,7,11,13,6,2,7,2317,2245,66.5,106.4,0.354,0.398,0.529,51.2,47.7,8.5,11.7,0.497,14.9,33,0.242,1310,801,1874,0.427,261,745,0.35,454,663,0.685,387,1148,382,186,140,383,598
82,East Carolina,30,10,20,0.333,-8.72,-0.22,4,14,8,11,2,8,1993,2248,68.8,95.3,0.287,0.346,0.509,47.9,52.4,7.1,7.9,0.483,18,27.8,0.191,1215,741,1723,0.43,182,597,0.305,329,494,0.666,292,1020,388,148,93,431,530
83,East Tennessee State,34,25,9,0.735,3.72,-4.09,14,4,12,4,11,4,2556,2241,69.7,107.8,0.331,0.363,0.564,52.9,54,11.2,12.7,0.536,16.7,31.2,0.235,1360,926,1957,0.473,244,711,0.343,460,648,0.71,352,1265,500,265,146,454,613
84,Eastern Illinois,31,12,19,0.387,-8.33,-3.4,7,11,7,6,4,12,2065,2120,66.4,99.9,0.319,0.363,0.519,49.9,53.6,8.8,13.1,0.489,17.3,30.3,0.218,1245,732,1726,0.424,224,627,0.357,377,551,0.684,331,1064,392,182,138,417,509
85,Eastern Kentucky,31,11,20,0.355,-10.57,-3.68,5,13,6,7,5,12,2230,2371,70,102.4,0.337,0.359,0.54,48,52.1,8.9,9.9,0.501,16.3,27.1,0.252,1245,778,1779,0.437,226,638,0.354,448,600,0.747,290,1022,405,193,113,401,542
86,Eastern Michigan,35,22,13,0.629,-0.23,-2.81,11,7,14,3,7,9,2509,2339,67.6,104.9,0.298,0.347,0.547,49.7,48.2,12.7,18.6,0.522,16.3,29.8,0.203,1415,933,2010,0.464,234,698,0.335,409,599,0.683,353,1230,450,303,227,447,559
87,Eastern Washington,35,20,15,0.571,-0.03,-1.55,13,5,11,1,6,12,2619,2520,69.2,107.3,0.284,0.411,0.572,49.6,47,7.6,8.1,0.541,14.9,22.2,0.217,1410,936,2017,0.464,310,828,0.374,437,572,0.764,255,1163,440,185,106,402,667
88,Elon,32,14,18,0.438,-6.89,-1.69,6,12,8,5,4,12,2346,2437,68,104.5,0.239,0.504,0.55,48.2,60.2,6.2,5.8,0.527,14.9,22.5,0.17,1320,842,1916,0.439,337,966,0.349,325,457,0.711,256,1140,507,140,66,373,494
89,Evansville,32,17,15,0.531,0.69,1.35,7,11,15,3,2,10,2094,2045,65.9,99,0.35,0.271,0.543,50.8,57,9,9.5,0.498,18.3,24.3,0.271,1285,731,1652,0.442,184,448,0.411,448,578,0.775,240,1058,417,190,92,431,568
90,Fairfield,33,17,16,0.515,-4.98,-3.68,9,9,10,3,3,10,2506,2549,72.1,103.3,0.309,0.444,0.544,48.3,55.3,8.7,7.6,0.514,15.4,24.5,0.22,1345,881,2009,0.439,303,893,0.339,441,621,0.71,301,1159,487,211,95,421,663
91,Fairleigh Dickinson,31,13,18,0.419,-10.42,-5.66,9,9,8,5,5,13,2313,2350,71.8,104,0.307,0.334,0.54,48.3,49.4,9.9,8.7,0.508,16.6,30.8,0.223,1240,842,1868,0.451,213,623,0.342,416,573,0.726,339,1067,416,220,100,426,561
92,Florida A&M,34,9,25,0.265,-19.22,-8.34,7,9,6,4,2,20,2343,2684,69.6,97.3,0.324,0.311,0.513,45.2,44.5,8.1,7.8,0.474,17.1,27.6,0.234,1385,831,1981,0.419,217,616,0.352,464,641,0.724,344,1094,370,194,104,471,612
93,Florida Atlantic,31,12,19,0.387,-5.36,-0.14,6,12,7,7,4,10,2155,2172,70.9,97.6,0.278,0.286,0.493,50.6,47.6,8.2,10,0.456,15.3,29.2,0.205,1245,790,1929,0.41,179,551,0.325,396,536,0.739,357,1194,376,182,124,393,557
94,Florida Gulf Coast,35,23,12,0.657,1.93,-5.44,12,2,14,6,9,6,2847,2515,73.3,111,0.321,0.33,0.583,53.8,51.2,10,7.6,0.554,16.8,31.7,0.238,1400,1045,2117,0.494,254,699,0.363,503,680,0.74,368,1338,535,256,97,494,653
95,Florida International,32,14,18,0.438,-4.3,-1.99,8,10,11,7,3,9,2262,2278,69.8,99,0.368,0.331,0.503,47.8,46.4,10.6,9,0.479,13.6,25.5,0.224,1310,815,1912,0.426,203,632,0.321,429,704,0.609,321,1150,378,242,102,354,585
96,Florida State NCAA,35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,72.2,109.4,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,31.7,0.256,1420,994,2125,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652
97,Florida NCAA,34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234,1375,893,2065,0.432,308,832,0.37,483,673,0.718,366,1198,445,237,164,335,591
